"trip_id","arrival_time","departure_time","stop_id","stop_sequence","pickup_type","drop_off_type"
"GO103_25_6714","07:59:00","07:59:00","359","6","0","0"
"GO103_25_6714","08:01:00","08:01:00","23","7","0","0"
"GO103_25_6714","08:03:00","08:03:00","63","8","0","0"
"GO103_25_6714","08:06:00","08:06:00","195","9","0","0"
"GO103_25_6714","08:09:00","08:09:00","149","10","0","0"
"GO103_25_6714","08:12:00","08:12:00","68","11","0","0"
"GO103_25_6714","08:15:00","08:15:00","36","12","0","0"
"GO103_25_6714","08:19:00","08:19:00","84","13","0","0"
"GO103_25_6715","07:44:00","07:44:00","84","1","0","0"
"GO103_25_6715","07:48:00","07:48:00","36","2","0","0"
"GO103_25_6715","07:51:00","07:51:00","68","3","0","0"
"GO103_25_6715","07:53:00","07:53:00","149","4","0","0"
"GO103_25_6715","07:56:00","07:56:00","195","5","0","0"
"GO103_25_6715","07:59:00","07:59:00","63","6","0","0"
"GO103_25_6715","08:01:00","08:01:00","23","7","0","0"
"GO103_25_6715","08:03:00","08:03:00","359","8","0","0"
"GO103_25_6715","08:06:00","08:06:00","175","9","0","0"
"GO103_25_6715","08:09:00","08:09:00","89","10","0","0"
"GO103_25_6715","08:11:00","08:11:00","86","11","1","1"
"GO103_25_6715","08:16:00","08:18:00","102","12","0","0"
"GO103_25_6715","08:38:00","08:38:00","349","13","0","0"
"GO103_25_6716","08:25:00","08:25:00","349","1","0","0"
"GO103_25_6716","08:46:00","08:48:00","102","2","0","0"
"GO103_25_6716","08:52:00","08:52:00","86","3","1","1"
"GO103_25_6716","08:54:00","08:54:00","89","4","0","0"
"GO103_25_6716","08:57:00","08:57:00","175","5","0","0"
"GO103_25_6716","08:59:00","08:59:00","359","6","0","0"
"GO103_25_6716","09:01:00","09:01:00","23","7","0","0"
"GO103_25_6716","09:03:00","09:03:00","63","8","0","0"
"GO103_25_6716","09:06:00","09:06:00","195","9","0","0"
"GO103_25_6716","09:09:00","09:09:00","149","10","0","0"
"GO103_25_6716","09:12:00","09:12:00","68","11","0","0"
"GO103_25_6716","09:15:00","09:15:00","36","12","0","0"
"GO103_25_6716","09:19:00","09:19:00","84","13","0","0"
"GO103_25_6717","08:44:00","08:44:00","84","1","0","0"
"GO103_25_6717","08:48:00","08:48:00","36","2","0","0"
"GO103_25_6717","08:51:00","08:51:00","68","3","0","0"
"GO103_25_6717","08:53:00","08:53:00","149","4","0","0"
"GO103_25_6717","08:56:00","08:56:00","195","5","0","0"
"GO103_25_6717","08:59:00","08:59:00","63","6","0","0"
"GO103_25_6717","09:01:00","09:01:00","23","7","0","0"
"GO103_25_6717","09:03:00","09:03:00","359","8","0","0"
"GO103_25_6717","09:06:00","09:06:00","175","9","0","0"
"GO103_25_6717","09:09:00","09:09:00","89","10","0","0"
"GO103_25_6717","09:11:00","09:11:00","86","11","1","1"
"GO103_25_6717","09:16:00","09:18:00","102","12","0","0"
"GO103_25_6717","09:38:00","09:38:00","349","13","0","0"
"GO103_25_6718","09:25:00","09:25:00","349","1","0","0"
"GO103_25_6718","09:46:00","09:48:00","102","2","0","0"
"GO103_25_6718","09:52:00","09:52:00","86","3","1","1"
"GO103_25_6718","09:54:00","09:54:00","89","4","0","0"
"GO103_25_6718","09:57:00","09:57:00","175","5","0","0"
"GO103_25_6718","09:59:00","09:59:00","359","6","0","0"
"GO103_25_6718","10:01:00","10:01:00","23","7","0","0"
"GO103_25_6718","10:03:00","10:03:00","63","8","0","0"
"GO103_25_6718","10:06:00","10:06:00","195","9","0","0"
"GO103_25_6718","10:09:00","10:09:00","149","10","0","0"
"GO103_25_6718","10:12:00","10:12:00","68","11","0","0"
